Title	Date	Lab	Plate	date_lab_plate	background_mean	background_SD
2023-01-11 plate_1	2023-01-11	Demengeot	plate_1	2023-01-11_Demengeot_plate_1	2.2415	0.09982413106487407
2023-01-11 plate_2	2023-01-11	Demengeot	plate_2	2023-01-11_Demengeot_plate_2	2.5395	0.09470103333272399
2023-01-11 plate_3	2023-01-11	Demengeot	plate_3	2023-01-11_Demengeot_plate_3	2.251125	0.12224499697621276
2023-01-11 plate_4	2023-01-11	Demengeot	plate_4	2023-01-11_Demengeot_plate_4	2.2775	0.05274195944136206
2023-01-11 plate_5	2023-01-11	Demengeot	plate_5	2023-01-11_Demengeot_plate_5	1.349875	0.10961939022949231
2023-01-17 plate_1	2023-01-17	Demengeot	plate_1	2023-01-17_Demengeot_plate_1	2.174375	0.07474707352130926
2023-01-17 plate_2	2023-01-17	Demengeot	plate_2	2023-01-17_Demengeot_plate_2	1.808875	0.09534963854901901
2023-01-17 plate_3	2023-01-17	Demengeot	plate_3	2023-01-17_Demengeot_plate_3	2.51525	0.13858751747542053
2023-01-17 plate_4	2023-01-17	Demengeot	plate_4	2023-01-17_Demengeot_plate_4	1.75275	0.0745879155283022
2023-01-17 plate_5	2023-01-17	Demengeot	plate_5	2023-01-17_Demengeot_plate_5	2.316	0.1214260503939978
2023-01-17 plate_6	2023-01-17	Demengeot	plate_6	2023-01-17_Demengeot_plate_6	2.3725	0.06501428414477191
2023-01-24 plate_1	2023-01-24	Demengeot	plate_1	2023-01-24_Demengeot_plate_1	1.84025	0.06581738806294708
2023-01-24 plate_2	2023-01-24	Demengeot	plate_2	2023-01-24_Demengeot_plate_2	1.537875	0.06689317176342759
2023-01-24 plate_3	2023-01-24	Demengeot	plate_3	2023-01-24_Demengeot_plate_3	1.9865	0.11008308550492996
2023-01-24 plate_4	2023-01-24	Demengeot	plate_4	2023-01-24_Demengeot_plate_4	1.637125	0.09669161213436692
2023-01-24 plate_5	2023-01-24	Demengeot	plate_5	2023-01-24_Demengeot_plate_5	2.4415	0.07056101716144077
2023-01-24 plate_6	2023-01-24	Demengeot	plate_6	2023-01-24_Demengeot_plate_6	2.530125	0.15205585205067626
2023-02-14 plate_1	2023-02-14	Demengeot	plate_1	2023-02-14_Demengeot_plate_1	2.6635	0.14221412427342497
2023-02-14 plate_2	2023-02-14	Demengeot	plate_2	2023-02-14_Demengeot_plate_2	1.252	0.06847940253410928
2023-02-14 plate_3	2023-02-14	Demengeot	plate_3	2023-02-14_Demengeot_plate_3	2.9865	0.24280385970102353
2023-02-14 plate_4	2023-02-14	Demengeot	plate_4	2023-02-14_Demengeot_plate_4	2.21775	0.0760671695655509
2023-03-05 plate_1	2023-03-05	Demengeot	plate_1	2023-03-05_Demengeot_plate_1	2.482	0.0952950306004612
2023-03-05 plate_2	2023-03-05	Demengeot	plate_2	2023-03-05_Demengeot_plate_2	2.326375	0.12426922099101731
2023-03-05 plate_3	2023-03-05	Demengeot	plate_3	2023-03-05_Demengeot_plate_3	2.163375	0.06677026177231046
2023-03-05 plate_4	2023-03-05	Demengeot	plate_4	2023-03-05_Demengeot_plate_4	1.9942499999999999	0.06378031492105198
2023-03-05 plate_5	2023-03-05	Demengeot	plate_5	2023-03-05_Demengeot_plate_5	2.6785	0.0898522596901635
2023-03-05 plate_6	2023-03-05	Demengeot	plate_6	2023-03-05_Demengeot_plate_6	1.80175	0.09922233331549625
2023-03-05 plate_7	2023-03-05	Demengeot	plate_7	2023-03-05_Demengeot_plate_7	2.10575	0.10550118482747006
2023-03-10 plate_1	2023-03-10	Demengeot	plate_1	2023-03-10_Demengeot_plate_1	1.13025	0.03037738820711407
2023-03-10 plate_2	2023-03-10	Demengeot	plate_2	2023-03-10_Demengeot_plate_2	1.63825	0.08579169123938686
2023-03-10 plate_3	2023-03-10	Demengeot	plate_3	2023-03-10_Demengeot_plate_3	1.307875	0.05975052301026325
2023-03-10 plate_4	2023-03-10	Demengeot	plate_4	2023-03-10_Demengeot_plate_4	2.265375	0.11885277507427885
2023-03-10 plate_5	2023-03-10	Demengeot	plate_5	2023-03-10_Demengeot_plate_5	1.732	0.07999642849170563
2023-03-11 plate_1	2023-03-11	Demengeot	plate_1	2023-03-11_Demengeot_plate_1	1.891625	0.09322773575651036
2023-03-11 plate_2	2023-03-11	Demengeot	plate_2	2023-03-11_Demengeot_plate_2	1.001	0.06624629369686601
2023-03-11 plate_3	2023-03-11	Demengeot	plate_3	2023-03-11_Demengeot_plate_3	2.112125	0.12453735813573609
2023-03-11 plate_4	2023-03-11	Demengeot	plate_4	2023-03-11_Demengeot_plate_4	2.0707500000000003	0.12154217375051346
2023-03-14 plate_1	2023-03-14	Demengeot	plate_1	2023-03-14_Demengeot_plate_1	2.554875	0.1360183154683852
2023-03-14 plate_2	2023-03-14	Demengeot	plate_2	2023-03-14_Demengeot_plate_2	2.327125	0.13770303192014327
2023-03-14 plate_3	2023-03-14	Demengeot	plate_3	2023-03-14_Demengeot_plate_3	1.68925	0.13213169837054886
2023-03-14 plate_4	2023-03-14	Demengeot	plate_4	2023-03-14_Demengeot_plate_4	1.9368750000000001	0.10389752850078506
2023-03-14 plate_5	2023-03-14	Demengeot	plate_5	2023-03-14_Demengeot_plate_5	1.728875	0.07262317123342936
2023-03-14 plate_6	2023-03-14	Demengeot	plate_6	2023-03-14_Demengeot_plate_6	1.4833749999999999	0.0787454080293847
2023-03-14 plate_7	2023-03-14	Demengeot	plate_7	2023-03-14_Demengeot_plate_7	1.830125	0.0869341910379833
2023-03-14 plate_8	2023-03-14	Demengeot	plate_8	2023-03-14_Demengeot_plate_8	1.2575	0.07422937423958256
2023-03-15 plate_1	2023-03-15	Demengeot	plate_1	2023-03-15_Demengeot_plate_1	2.006625	0.08490488375655605
2023-03-15 plate_2	2023-03-15	Demengeot	plate_2	2023-03-15_Demengeot_plate_2	1.895375	0.07503701467561574
2023-03-15 plate_3	2023-03-15	Demengeot	plate_3	2023-03-15_Demengeot_plate_3	1.07075	0.06393691086867252
2023-03-15 plate_4	2023-03-15	Demengeot	plate_4	2023-03-15_Demengeot_plate_4	2.07475	0.13515573028388922
2023-03-15 plate_5	2023-03-15	Demengeot	plate_5	2023-03-15_Demengeot_plate_5	2.2275	0.06793484273289256
2023-03-31 plate_1	2023-03-31	Demengeot	plate_1	2023-03-31_Demengeot_plate_1	1.729625	0.1071553445104016
2023-03-31 plate_2	2023-03-31	Demengeot	plate_2	2023-03-31_Demengeot_plate_2	2.495625	0.10011555823147578
2023-03-31 plate_3	2023-03-31	Demengeot	plate_3	2023-03-31_Demengeot_plate_3	1.749875	0.07733126793218899
2023-03-31 plate_4	2023-03-31	Demengeot	plate_4	2023-03-31_Demengeot_plate_4	2.4515000000000002	0.11818508486993726
2023-03-31 plate_5	2023-03-31	Demengeot	plate_5	2023-03-31_Demengeot_plate_5	2.264625	0.07132007831900194
2023-04-03 plate_1	2023-04-03	Demengeot	plate_1	2023-04-03_Demengeot_plate_1	1.364875	0.05146826345290019
2023-04-03 plate_2	2023-04-03	Demengeot	plate_2	2023-04-03_Demengeot_plate_2	2.194375	0.13400419769544536
2023-04-03 plate_3	2023-04-03	Demengeot	plate_3	2023-04-03_Demengeot_plate_3	2.333125	0.14837254029733987
2023-04-03 plate_4	2023-04-03	Demengeot	plate_4	2023-04-03_Demengeot_plate_4	2.273	0.06720119046564578
2023-04-03 plate_5	2023-04-03	Demengeot	plate_5	2023-04-03_Demengeot_plate_5	2.154375	0.11023084543681184
2023-04-03 plate_6	2023-04-03	Demengeot	plate_6	2023-04-03_Demengeot_plate_6	2.2523750000000002	0.07592842023906468
2023-04-03 plate_7	2023-04-03	Demengeot	plate_7	2023-04-03_Demengeot_plate_7	2.0275	0.1267190367928761
2023-04-03 plate_8	2023-04-03	Demengeot	plate_8	2023-04-03_Demengeot_plate_8	1.846	0.08432589841120662
2023-04-10 plate_1	2023-04-10	Demengeot	plate_1	2023-04-10_Demengeot_plate_1	2.010625	0.07161790977122974
2023-04-10 plate_2	2023-04-10	Demengeot	plate_2	2023-04-10_Demengeot_plate_2	2.015125	0.10330597756180418
2023-04-10 plate_3	2023-04-10	Demengeot	plate_3	2023-04-10_Demengeot_plate_3	2.029875	0.13431778682342432
2023-04-10 plate_4	2023-04-10	Demengeot	plate_4	2023-04-10_Demengeot_plate_4	2.360125	0.15722544096206026
2023-04-10 plate_5	2023-04-10	Demengeot	plate_5	2023-04-10_Demengeot_plate_5	1.941375	0.06718830149023608
2023-04-10 plate_6	2023-04-10	Demengeot	plate_6	2023-04-10_Demengeot_plate_6	1.72525	0.06164356066474887
2023-04-10 plate_7	2023-04-10	Demengeot	plate_7	2023-04-10_Demengeot_plate_7	2.588375	0.16293463851671142
2023-04-10 plate_8	2023-04-10	Demengeot	plate_8	2023-04-10_Demengeot_plate_8	2.133125	0.10380674007844709
2023-04-15 plate_1	2023-04-15	Demengeot	plate_1	2023-04-15_Demengeot_plate_1	1.7573750000000001	0.05765150846744107
2023-04-15 plate_2	2023-04-15	Demengeot	plate_2	2023-04-15_Demengeot_plate_2	1.681875	0.08651414004988682
2023-04-15 plate_3	2023-04-15	Demengeot	plate_3	2023-04-15_Demengeot_plate_3	2.227125	0.06611772509266005
2023-04-15 plate_4	2023-04-15	Demengeot	plate_4	2023-04-15_Demengeot_plate_4	1.669375	0.05324589186031164
2023-04-15 plate_5	2023-04-15	Demengeot	plate_5	2023-04-15_Demengeot_plate_5	1.735125	0.0804601720462633
2023-04-15 plate_6	2023-04-15	Demengeot	plate_6	2023-04-15_Demengeot_plate_6	1.883875	0.0753438546171579
2023-04-20 plate_1	2023-04-20	Demengeot	plate_1	2023-04-20_Demengeot_plate_1	2.31075	0.13154548371462352
2023-04-20 plate_2	2023-04-20	Demengeot	plate_2	2023-04-20_Demengeot_plate_2	2.2865	0.08533798350424873
2023-04-20 plate_3	2023-04-20	Demengeot	plate_3	2023-04-20_Demengeot_plate_3	2.3217499999999998	0.11894986939283035
2023-04-20 plate_4	2023-04-20	Demengeot	plate_4	2023-04-20_Demengeot_plate_4	1.8343749999999999	0.13638803623694942
2023-04-20 plate_5	2023-04-20	Demengeot	plate_5	2023-04-20_Demengeot_plate_5	2.28475	0.12547367396048803
2023-04-23 plate_1	2023-04-23	Demengeot	plate_1	2023-04-23_Demengeot_plate_1	1.787	0.10291189019183908
2023-04-23 plate_2	2023-04-23	Demengeot	plate_2	2023-04-23_Demengeot_plate_2	2.249875	0.07256019668425069
2023-04-23 plate_3	2023-04-23	Demengeot	plate_3	2023-04-23_Demengeot_plate_3	1.93125	0.08688868083440363
2023-04-23 plate_4	2023-04-23	Demengeot	plate_4	2023-04-23_Demengeot_plate_4	2.3329999999999997	0.11008438321838127
2023-04-23 plate_5	2023-04-23	Demengeot	plate_5	2023-04-23_Demengeot_plate_5	2.155125	0.14152580531983758
2023-04-23 plate_6	2023-04-23	Demengeot	plate_6	2023-04-23_Demengeot_plate_6	2.0735	0.13358999107075994
2023-04-25 plate_1	2023-04-25	Demengeot	plate_1	2023-04-25_Demengeot_plate_1	2.041625	0.09098027651247116
2023-04-25 plate_2	2023-04-25	Demengeot	plate_2	2023-04-25_Demengeot_plate_2	1.909	0.060832322235563396
2023-04-25 plate_3	2023-04-25	Demengeot	plate_3	2023-04-25_Demengeot_plate_3	2.0445	0.06762712896041483
2023-04-25 plate_4	2023-04-25	Demengeot	plate_4	2023-04-25_Demengeot_plate_4	2.203625	0.07753697274756825
2023-04-29 plate_1	2023-04-29	Demengeot	plate_1	2023-04-29_Demengeot_plate_1	2.178875	0.06415258039571414
2023-04-29 plate_2	2023-04-29	Demengeot	plate_2	2023-04-29_Demengeot_plate_2	2.355375	0.1328908655358115
2023-04-29 plate_3	2023-04-29	Demengeot	plate_3	2023-04-29_Demengeot_plate_3	1.407875	0.06321717103988214
2023-04-29 plate_4	2023-04-29	Demengeot	plate_4	2023-04-29_Demengeot_plate_4	1.310875	0.08049389950265089
2023-04-29 plate_5	2023-04-29	Demengeot	plate_5	2023-04-29_Demengeot_plate_5	1.855875	0.10474382013819651
2023-04-29 plate_6	2023-04-29	Demengeot	plate_6	2023-04-29_Demengeot_plate_6	2.441375	0.09464963587583719
2023-04-29 plate_7	2023-04-29	Demengeot	plate_7	2023-04-29_Demengeot_plate_7	1.42775	0.0998953023348517
2023-05-03 plate_1	2023-05-03	Demengeot	plate_1	2023-05-03_Demengeot_plate_1	2.201875	0.11151737532779364
2023-05-03 plate_2	2023-05-03	Demengeot	plate_2	2023-05-03_Demengeot_plate_2	1.70275	0.09675263008606755
2023-05-03 plate_3	2023-05-03	Demengeot	plate_3	2023-05-03_Demengeot_plate_3	1.8075	0.035022441784824616
2023-05-03 plate_4	2023-05-03	Demengeot	plate_4	2023-05-03_Demengeot_plate_4	2.151875	0.13157554864031537
2023-05-03 plate_5	2023-05-03	Demengeot	plate_5	2023-05-03_Demengeot_plate_5	1.807125	0.09482832232137038
2023-05-16 plate_1	2023-05-16	Demengeot	plate_1	2023-05-16_Demengeot_plate_1	2.5975	0.12644931226158795
2023-05-16 plate_2	2023-05-16	Demengeot	plate_2	2023-05-16_Demengeot_plate_2	1.5939999999999999	0.07180529228406499
2023-05-16 plate_3	2023-05-16	Demengeot	plate_3	2023-05-16_Demengeot_plate_3	2.161625	0.07439073963106653
2023-05-16 plate_4	2023-05-16	Demengeot	plate_4	2023-05-16_Demengeot_plate_4	1.97175	0.09017720649603514
2023-05-16 plate_5	2023-05-16	Demengeot	plate_5	2023-05-16_Demengeot_plate_5	1.619625	0.05209589372356658
2023-05-16 plate_6	2023-05-16	Demengeot	plate_6	2023-05-16_Demengeot_plate_6	2.251625	0.08986805804702169
2023-05-21 plate_1	2023-05-21	Demengeot	plate_1	2023-05-21_Demengeot_plate_1	1.7257500000000001	0.06496757432970474
2023-05-21 plate_2	2023-05-21	Demengeot	plate_2	2023-05-21_Demengeot_plate_2	3.075375	0.1469284932981249
2023-05-21 plate_3	2023-05-21	Demengeot	plate_3	2023-05-21_Demengeot_plate_3	1.836625	0.08194760957029627
2023-05-21 plate_4	2023-05-21	Demengeot	plate_4	2023-05-21_Demengeot_plate_4	1.868125	0.053150561077538405
2023-05-22 plate_1	2023-05-22	Demengeot	plate_1	2023-05-22_Demengeot_plate_1	2.040875	0.11248801523463992
2023-05-22 plate_2	2023-05-22	Demengeot	plate_2	2023-05-22_Demengeot_plate_2	1.236	0.07282856582413245
2023-05-22 plate_3	2023-05-22	Demengeot	plate_3	2023-05-22_Demengeot_plate_3	1.2313749999999999	0.04901293561033512
2023-05-22 plate_4	2023-05-22	Demengeot	plate_4	2023-05-22_Demengeot_plate_4	2.464125	0.12278719977494165
2023-05-23 plate_1	2023-05-23	Demengeot	plate_1	2023-05-23_Demengeot_plate_1	2.28725	0.0727907961214878
2023-05-23 plate_2	2023-05-23	Demengeot	plate_2	2023-05-23_Demengeot_plate_2	1.805375	0.11583724727885611
2023-05-23 plate_3	2023-05-23	Demengeot	plate_3	2023-05-23_Demengeot_plate_3	1.0345	0.03158209257520108
2023-05-23 plate_4	2023-05-23	Demengeot	plate_4	2023-05-23_Demengeot_plate_4	2.1965	0.15058362650510368
2023-05-24 plate_1	2023-05-24	Demengeot	plate_1	2023-05-24_Demengeot_plate_1	1.332	0.026414281851193464
